id_user,word1,word2,totals
suka_case_suka,you,3000,1
suka_case_suka,3000,by,1
suka_case_suka,by,iron,1
suka_case_suka,iron,man,1
suka_case_suka,man,tony,1
suka_case_suka,tony,stark,1
suka_case_suka,stark,ironman,1
suka_case_suka,ironman,iloveyou3000,1
suka_case_suka,iloveyou3000,avengersassemble,1
suka_case_suka,avengersassemble,endgame,1
suka_case_suka,endgame,ironman3,1
suka_case_suka,ironman3,caseunikmurah,1
suka_case_suka,caseunikmurah,jualcustomcase,1
suka_case_suka,roger,steverogerscaptainamerica,1
suka_case_suka,steverogerscaptainamerica,captainamerica,1
suka_case_suka,captainamerica,marvel,1
suka_case_suka,marvel,civilwar,1
suka_case_suka,civilwar,ironman3,1
suka_case_suka,ironman3,jualcustomcase,1
suka_case_suka,jualcustomcase,caseoppoa3s,1
suka_case_suka,shields,of,1
suka_case_suka,of,captain,1
suka_case_suka,captain,america,2
suka_case_suka,america,war,1
suka_case_suka,war,marvel,1
suka_case_suka,marvel,cartoon,1
suka_case_suka,cartoon,avengersassemble,1
suka_case_suka,avengersassemble,avengers,1
suka_case_suka,avengers,jualcustomcase,2
suka_case_suka,jualonlinemurah,casevivo,1
suka_case_suka,capt,in,1
suka_case_suka,in,blue,2
suka_case_suka,blue,creative,1
suka_case_suka,creative,ilovecaptainamerica,1
suka_case_suka,ilovecaptainamerica,marvel,1
suka_case_suka,marvel,avengers3,1
suka_case_suka,avengers3,jualcustomcase,1
suka_case_suka,jualcustomcase,caseiphone,1
suka_case_suka,caseiphone,caseku,1
suka_case_suka,caseku,caseunikmurah,1
suka_case_suka,america,captainamerica,1
suka_case_suka,captainamerica,civilwar,2
suka_case_suka,civilwar,marvel,1
suka_case_suka,marvel,avengersassemble,1
suka_case_suka,avengersassemble,jualcustomcase,1
suka_case_suka,jualcustomcase,jualcase,4
suka_case_suka,jualcase,casekeren,1
suka_case_suka,roger,captain,1
suka_case_suka,captain,captainamerica,1
suka_case_suka,civilwar,avengers,1
suka_case_suka,caseoppo,casesamsungs8,1
suka_case_suka,casesamsungs8,caseunikmurah,1
suka_case_suka,back,to,1
suka_case_suka,to,yesterday,1
suka_case_suka,yesterday,caseunikmurah,1
suka_case_suka,caseunikmurah,casekeren,1
suka_case_suka,casekeren,jualcasejadul,1
suka_case_suka,jualcasejadul,hpjadul,1
suka_case_suka,wanna,dm,6
suka_case_suka,dm,me,14
suka_case_suka,me,or,11
suka_case_suka,or,wa,20
suka_case_suka,wa,fast,6
suka_case_suka,fast,respons,3
suka_case_suka,respons,diskonjakarta,1
suka_case_suka,diskonjakarta,jualcustomcase,1
suka_case_suka,jualcustomcase,retrocase,1
suka_case_suka,retrocase,caseoppo,1
suka_case_suka,caseoppo,casea,1
suka_case_suka,avenger,assemble,1
suka_case_suka,assemble,marvel,1
suka_case_suka,marvel,avengersendgame,1
suka_case_suka,avengersendgame,thor,1
suka_case_suka,thor,ironman,1
suka_case_suka,ironman,caseoppo,1
suka_case_suka,adidas,wanna,1
suka_case_suka,wanna,dmme,2
suka_case_suka,dmme,or,3
suka_case_suka,respons,adidas,1
suka_case_suka,adidas,samsungs10,1
suka_case_suka,samsungs10,samsungs8,1
suka_case_suka,samsungs8,samsungs9plus,1
suka_case_suka,samsungs9plus,caseiphone7,1
